Index,Ovr,Gen,Div,Name,#,AG,Country,Swim,Bike,Run,Total,Competition,Year,Swim_sec,Bike_sec,Run_sec,Total_sec
83,83,81,20,Rob McLean,2224,M40-44,CAN,00:42:21,05:05:30,03:31:54,09:29:25,Overall Results,Ironman California 2023,2541.0,18330.0,12714,34165
84,84,82,24,Chad Silva,1454,M35-39,USA,00:43:09,05:06:38,03:28:04,09:30:22,Overall Results,Ironman California 2023,2589.0,18398.0,12484,34222
85,85,83,9,Jeremy Yang,937,M25-29,USA,00:50:47,05:05:15,03:22:27,09:31:06,Overall Results,Ironman California 2023,3047.0,18315.0,12147,34266
86,86,84,7,William Valenti,543,M50-54,USA,00:39:35,05:08:40,03:32:19,09:31:10,Overall Results,Ironman California 2023,2375.0,18520.0,12739,34270
87,87,85,25,Derrick Cotten,1343,M35-39,USA,00:45:15,04:51:01,03:44:30,09:31:57,Overall Results,Ironman California 2023,2715.0,17461.0,13470,34317
88,88,86,15,Devin Quinn,1513,M30-34,USA,00:44:13,05:16:59,03:20:34,09:32:21,Overall Results,Ironman California 2023,2653.0,19019.0,12034,34341
89,89,87,26,Andrew Sidor,2111,M35-39,USA,00:41:02,04:49:54,03:51:05,09:32:53,Overall Results,Ironman California 2023,2462.0,17394.0,13865,34373
90,90,88,16,Nick Molzahn,828,M30-34,USA,00:45:39,05:09:53,03:26:19,09:33:19,Overall Results,Ironman California 2023,2739.0,18593.0,12379,34399
91,91,89,7,John Novikoff,194,M45-49,USA,00:45:32,04:39:52,03:57:12,09:33:30,Overall Results,Ironman California 2023,2732.0,16792.0,14232,34410
92,92,90,21,Tomasz Zemelka,1003,M40-44,POL,00:46:23,04:28:31,04:07:15,09:33:45,Overall Results,Ironman California 2023,2783.0,16111.0,14835,34425
93,93,91,17,Tyler Mannino,686,M30-34,USA,00:43:18,05:10:37,03:28:45,09:34:16,Overall Results,Ironman California 2023,2598.0,18637.0,12525,34456
94,94,92,27,Jorma Harmsalu,289,M35-39,EST,00:40:08,05:07:33,03:37:51,09:34:43,Overall Results,Ironman California 2023,2408.0,18453.0,13071,34483
95,95,93,28,Justin Marzean,325,M35-39,USA,00:44:06,05:12:02,03:23:35,09:34:50,Overall Results,Ironman California 2023,2646.0,18722.0,12215,34490
96,96,94,8,Scott Goodrich,169,M45-49,USA,00:45:54,04:46:45,03:51:47,09:34:59,Overall Results,Ironman California 2023,2754.0,17205.0,13907,34499
97,97,95,22,Nikos Petzetakis,149,M40-44,GRC,00:46:59,04:56:02,03:39:01,09:35:11,Overall Results,Ironman California 2023,2819.0,17762.0,13141,34511
98,98,96,23,Alan Jacobs,1593,M40-44,USA,00:46:44,05:06:31,03:25:24,09:35:14,Overall Results,Ironman California 2023,2804.0,18391.0,12324,34514
99,99,97,29,Matthew Morrissette,1694,M35-39,USA,00:47:29,05:08:52,03:21:40,09:35:29,Overall Results,Ironman California 2023,2849.0,18532.0,12100,34529
100,100,98,18,Andrew Pool,2273,M30-34,CAN,00:44:07,05:10:50,03:27:09,09:35:38,Overall Results,Ironman California 2023,2647.0,18650.0,12429,34538
101,101,99,30,Stuart Rotticci,1015,M35-39,USA,00:41:34,04:45:52,03:55:33,09:35:45,Overall Results,Ironman California 2023,2494.0,17152.0,14133,34545
102,102,100,31,Matt Buongiorno,840,M35-39,USA,00:45:15,04:55:48,03:43:38,09:36:02,Overall Results,Ironman California 2023,2715.0,17748.0,13418,34562
103,103,101,10,Evan Saunders,1077,M25-29,CAN,00:45:09,05:01:51,03:36:53,09:36:09,Overall Results,Ironman California 2023,2709.0,18111.0,13013,34569
104,104,102,19,Robert Eley,2179,M30-34,USA,00:43:43,04:49:21,03:51:05,09:36:56,Overall Results,Ironman California 2023,2623.0,17361.0,13865,34616
105,105,103,9,Holger Bohm,236,M45-49,CAN,00:42:41,04:49:20,03:56:32,09:37:49,Overall Results,Ironman California 2023,2561.0,17360.0,14192,34669
106,106,104,10,Edgar Corral,1831,M45-49,USA,00:46:25,04:59:30,03:40:12,09:37:59,Overall Results,Ironman California 2023,2785.0,17970.0,13212,34679
107,107,105,11,Mitchell Adam,2162,M25-29,CAN,00:45:46,05:10:28,03:26:29,09:39:10,Overall Results,Ironman California 2023,2746.0,18628.0,12389,34750
108,108,3,2,Rebekah Walker,233,F40-44,USA,00:43:18,05:01:15,03:43:27,09:39:15,Overall Results,Ironman California 2023,2598.0,18075.0,13407,34755
109,109,106,11,Tommaso Paxia,2278,M45-49,ITA,00:43:41,05:08:05,03:34:30,09:39:22,Overall Results,Ironman California 2023,2621.0,18485.0,12870,34762
110,110,107,8,Paul Henry,201,M50-54,USA,00:46:07,05:08:14,03:31:26,09:40:11,Overall Results,Ironman California 2023,2767.0,18494.0,12686,34811
111,111,108,24,Alton Dunnigan,2085,M40-44,USA,00:44:49,05:01:17,03:39:01,09:40:24,Overall Results,Ironman California 2023,2689.0,18077.0,13141,34824
112,112,109,25,Scott Fulkerson,327,M40-44,USA,00:46:03,05:12:06,03:31:37,09:40:50,Overall Results,Ironman California 2023,2763.0,18726.0,12697,34850
113,113,110,12,Vit Kovarik,1006,M45-49,CZE,00:45:58,05:03:04,03:38:01,09:40:54,Overall Results,Ironman California 2023,2758.0,18184.0,13081,34854
114,114,4,1,Melanie van Soeren,1717,F30-34,CAN,00:44:45,05:21:08,03:18:57,09:41:17,Overall Results,Ironman California 2023,2685.0,19268.0,11937,34877
115,115,111,26,Michael Wood,2219,M40-44,CAN,00:44:33,05:03:59,03:40:54,09:41:26,Overall Results,Ironman California 2023,2673.0,18239.0,13254,34886
116,116,112,9,Chris Lamneck,321,M50-54,USA,00:44:49,05:07:19,03:36:03,09:41:27,Overall Results,Ironman California 2023,2689.0,18439.0,12963,34887
117,117,113,13,John Dwight,345,M45-49,USA,00:37:49,05:14:45,03:34:37,09:41:41,Overall Results,Ironman California 2023,2269.0,18885.0,12877,34901
118,118,114,14,Justin Johnson,1868,M45-49,USA,00:47:09,04:37:00,04:06:00,09:41:41,Overall Results,Ironman California 2023,2829.0,16620.0,14760,34901
